Gene,Average_Score,Classification,Cortex,Striatum,hiPSC,Fetal,SynGO,GO Synapse,SynDB,SynSysNet
ADAMTSL3,4.169524704570666,Negative,0,0,0,0,0,0,0,0
ADAMTSL4,4.099855716449763,Negative,0,0,0,0,0,0,0,0
ADAP1,4.575698653860833,Negative,0,0,0,0,0,0,0,0
ADAR,4.481850180809606,Negative,0,0,1,1,0,0,1,0
ADARB1,4.1468161368543575,Negative,0,0,0,0,0,0,0,0
ADARB2,4.652160915054833,Negative,0,0,0,0,0,0,0,0
ADAT3,4.549460240754167,Negative,0,0,0,0,0,0,0,0
ADCY2,4.502572022314499,Negative,1,0,0,0,0,0,0,1
ADCY3,4.11984107858475,Negative,0,0,0,0,0,0,0,1
ADCY4,4.083159248139832,Negative,0,0,1,0,0,0,0,1
ADCY5,3.9828811312604517,Negative,1,1,0,0,0,0,0,1
ADCY6,4.244307682498452,Negative,1,1,0,0,0,0,0,0
ADCY7,4.167782342293687,Negative,0,0,0,0,0,0,0,0
ADCY8,4.613131443504583,Negative,1,0,0,0,1,1,0,1
ADCY9,4.397328660615998,Negative,1,1,1,0,0,0,0,1
ADCYAP1R1,4.526475353726499,Negative,1,0,0,0,0,0,0,0
ADH1A,4.2497359601663565,Negative,0,0,0,0,0,0,0,0
ADH1B,4.198472673878833,Negative,0,0,0,0,0,0,0,0
ADH4,4.345474951446833,Negative,0,0,0,0,0,0,0,0
ADH5,4.248166654017,Negative,0,0,1,0,0,0,0,0
ADH7,4.484971896365916,Negative,0,0,0,0,0,0,0,0
ADHFE1,4.022522008214748,Negative,0,0,0,0,0,0,0,0
ADIPOR1,4.460528040681166,Negative,0,0,0,0,0,0,0,0
ADIPOR2,4.404356971502035,Negative,0,0,0,0,0,0,0,0
ADK,4.40194878371575,Negative,0,0,1,0,0,0,0,0
ADM,3.948743175498166,Negative,0,0,0,0,0,0,0,0
ADNP,4.462237926197762,Negative,0,0,0,0,0,0,0,0
ADORA2A,4.516689101887644,Negative,0,0,0,0,1,1,0,1
ADPRH,4.435448043598166,Negative,0,0,0,0,0,0,0,0
ADRA1A,4.222008477925416,Negative,0,0,0,0,1,1,0,1
ADRA2A,3.9957334076893454,Negative,1,0,0,1,1,0,0,1
ADRA2C,4.3364483380155,Negative,0,0,0,0,1,1,0,0
ADRB1,3.98709764819665,Negative,0,0,0,0,1,1,0,0
ADRB2,4.134011866743649,Negative,0,0,0,0,1,0,0,1
ADRM1,4.602789214123834,Negative,0,1,1,1,0,0,0,0
ADSL,4.22993552404725,Negative,1,0,1,0,0,0,0,0
AEBP1,4.520189899386667,Negative,0,0,0,0,0,0,0,0
AEN,4.2465968222401385,Negative,0,0,0,0,0,0,0,0
AFAP1,4.3982725225445005,Negative,1,0,1,1,0,0,0,0
AFAP1L1,4.457157831760083,Negative,0,0,0,0,0,0,0,0
AFAP1L2,4.277677342919667,Negative,0,0,0,0,0,0,0,0
AFF1,4.325818256143666,Negative,0,0,0,0,0,0,0,0
AFF2,4.653719533459707,Negative,0,0,0,0,0,0,0,0
AFF3,4.453348381511166,Negative,0,0,0,0,0,0,0,0
AFF4,4.652953565920493,Negative,0,0,0,0,0,0,0,0
AFG3L2,4.577779391842833,Negative,1,1,1,0,0,0,1,0
AFP,2.5906497859544992,Negative,0,0,0,1,0,0,0,0
AFTPH,4.2472043734024165,Negative,0,0,0,0,0,0,0,0
AGA,4.525466477860499,Negative,0,0,0,0,0,0,0,0
AGAP1,4.740523553502,EnSig,0,0,1,1,0,0,1,0
AGAP2,4.502594216297999,Negative,1,1,0,1,1,0,1,1
AGAP3,4.535867691959712,Negative,1,1,1,1,1,0,1,0
AGAP4,4.229620174202881,Negative,0,0,0,0,0,0,0,0
AGBL5,4.137103330253071,Negative,0,0,0,0,0,0,0,0
AGFG1,4.261927629968833,Negative,1,1,0,0,0,0,0,0
AGGF1,4.464019050296499,Negative,0,0,0,0,0,0,0,0
AGK,4.45276887856675,Negative,1,1,1,1,0,0,1,1
AGL,4.477925082269833,Negative,0,0,1,0,0,0,1,0
AGMAT,4.245848534161167,Negative,0,0,0,0,0,0,0,0
AGO1,4.629823890624616,Negative,0,0,1,1,0,0,0,0
AGO2,4.608316592915611,Negative,1,1,1,0,0,0,0,0
