genes,Synapse Percentile
AK7,23.59517214087851
AK8,13.998812821527505
AK9,37.7621685793431
AKAP10,40.56193114364859
AKAP13,93.796992481203
AKAP3,6.153541749109616
AKAP4,8.636723387415909
AKAP5,78.05698456667986
AKAP6,70.81519588444796
AKAP7,27.196280174119508
AKAP8,52.17649386624456
AKAP8L,81.0842896715473
AKAP9,77.33478432924416
AKNA,10.753858330035616
AKR1B1,73.41709537000396
AKR1B10,5.233478432924416
AKR1C1,26.978630787495053
AKR1C2,16.086268302334783
AKR1C3,22.44756628413138
AKR1C4,4.135338345864661
AKR1D1,9.378709932726553
AKR7A2,75.36604669568659
AKR7A3,29.570637119113574
AKT1,99.05025722200236
AKT1S1,51.553225168183616
AKT2,91.66007123070835
AKT3,78.27463395330432
AKTIP,71.37910565888406
ALAD,42.57024139295608
ALAS1,75.00989315393747
ALAS2,11.515631183221211
ALB,83.201424614167
ALCAM,73.23901859912941
ALDH18A1,61.68381480015829
ALDH1A1,29.689354966363275
ALDH1A2,57.06371191135734
ALDH1A3,20.13256826276217
ALDH1B1,50.35615354174911
ALDH1L1,15.641076375148398
ALDH1L2,31.90542144835773
ALDH2,83.94341115947765
ALDH3A1,25.484764542936286
ALDH3A2,79.6794618124258
ALDH3B1,54.02651365255243
ALDH5A1,70.2018203403245
ALDH6A1,31.18322121092204
ALDH7A1,63.791056588840526
ALDH8A1,15.047487138899882
ALDH9A1,35.80332409972299
ALDOA,97.40799366838148
ALDOB,32.84527107241789
ALG1,50.67273446774832
ALG10,8.458646616541353
ALG13,56.29204590423427
ALG2,47.83339928769291
ALG3,23.70399683419074
ALG5,23.060941828254848
ALG6,16.759002770083104
ALG8,21.46814404432133
ALG9,33.04313415116739
ALK,91.55124653739612
ALKBH2,11.931143648595173
ALKBH3,51.40482785912149
ALKBH5,65.4827859121488
ALKBH8,29.90700435298773
ALOX12,9.80411555203799
ALOX12B,16.303917688959242
ALOX15,31.846062524732886
ALOX15B,33.46853977047883
ALOX5,64.84962406015038
ALOX5AP,13.138108428967154
ALPI,21.2801741195093
ALPK1,36.45627225959636
ALPK3,41.94697269489513
ALPL,37.89077958053027
ALS2,94.27186387020184
ALS2CL,45.54808072813613
ALX1,2.40403640680649
ALX4,14.345073209339136
ALYREF,79.27384250098932
AMACR,7.0043529877324895
AMBN,23.34784329244163
AMBP,19.07400079145232
AMD1,47.54649782350614
AMDHD1,12.435694499406411
AMER1,54.392560348239016
AMER2,58.02334784329244
AMER3,50.57380292837357
AMFR,80.11476058567472
AMIGO1,91.1159477641472
AMIGO2,32.37039968341907
AMMECR1,43.07479224376731
AMN,11.574990106846062
AMOTL1,48.57538583300356
AMOTL2,69.1630391768896
AMPD2,76.89948555599526
AMPD3,27.66125840918085
AMT,70.1622477245746
ANAPC1,33.40918084685398
ANAPC10,39.46379105658884
ANAPC16,10.99129402453502
ANAPC2,54.6794618124258
ANAPC4,41.88761377127028
ANAPC5,64.3945389790265
ANAPC7,36.1594776414721
ANGEL1,72.46735259200634
ANGPT1,15.611396913335971
ANGPT2,15.74000791452315
ANK1,92.61970716264344
ANK2,99.9208547685002
ANKFY1,88.00949742777998
ANKHD1,74.90106846062525
ANKIB1,1.0981400870597546
ANKLE2,62.801741195092994
ANKMY2,61.07043925603482
ANKRA2,47.101305896319744
ANKRD11,80.62920459042343
ANKRD12,50.79145231499802
ANKRD13A,55.32251681836169
ANKRD13B,51.36525524337159
ANKRD13C,40.27502967946181
ANKRD13D,57.29125445191927
ANKRD17,58.686189157103286
ANKRD2,30.12465373961219
ANKRD26,79.50138504155125
ANKRD27,57.390185991294025
ANKRD28,90.04748713889988
ANKRD30A,38.18757419865453
ANKRD49,8.201424614166996
ANKRD50,33.67629600316581
ANKRD53,4.125445191927186
ANKRD54,23.78314206569054
ANKRD6,81.30193905817174
ANKS1A,97.02216066481996
ANKS4B,34.94261970716264
ANKS6,33.11238622872972
ANKZF1,22.764147210130588
ANLN,99.10961614562724
ANO10,20.75583696082311
ANO3,69.62801741195094
ANO5,73.57538583300357
ANO6,45.310645033636725
ANO8,49.08982983775228
ANP32A,64.28571428571429
ANP32B,69.11357340720221
ANP32E,54.13533834586466
ANPEP,11.485951721408783
ANTXR1,70.90423426988524
ANTXR2,56.67787890779581
ANXA11,76.61258409180847
ANXA13,10.457063711911358
ANXA2,96.23070834982192
ANXA3,30.827067669172934
ANXA4,54.16501780767709
ANXA6,77.18638702018204
ANXA7,89.0383854372774
ANXA9,15.02770083102493
AOC1,11.0803324099723
AOC2,20.66679857538584
AOC3,27.166600712307083
AOX1,81.15354174910962
AP1AR,39.30550059358924
AP1B1,91.19509299564702
AP1G1,67.15472892758211
AP1G2,59.34903047091413
AP1M1,88.30629204590423
AP1M2,58.76533438860309
AP1S1,89.13731697665216
AP1S2,23.031262366442423
AP1S3,20.91412742382272
AP2A1,89.9584487534626
AP2A2,94.93470518401266
AP2B1,13.939453897902652
AP2M1,99.07004352987732
AP2S1,86.68381480015829
AP3B2,91.98654531064504
AP3M1,55.797388207360505
AP3M2,87.198258804907
AP3S1,73.56549267906608
AP4B1,17.99564701226751
AP4E1,64.41432528690146
AP4M1,21.695686584883266
AP4S1,66.15552037989711
AP5M1,29.372774040364067
AP5Z1,14.691333597150772
APAF1,76.0387811634349
APBA2,96.2801741195093
APBB1,89.56272259596359
APBB1IP,38.01939058171745
APBB2,66.89750692520775
APC2,84.0423426988524
APEH,53.61100118717847
APEX1,91.83814800158292
APEX2,34.932726553225166
API5,42.10526315789474
APIP,22.78393351800554
APLF,49.91096161456272
APLNR,81.5591610605461
APLP1,84.4380688563514
APLP2,95.9537000395726
APMAP,80.16422635536209
APOA1,58.419074000791454
APOA2,8.616937079540957
APOA5,11.66402849228334
APOB,83.42896715472892
APOBEC2,0.7914523149980214
APOBEC3B,24.17886822318956
APOBEC3C,36.881677878907794
APOBEC3F,35.40759794222398
APOBEC3G,34.1610605461021
APOC2,2.3941432528690147
APOH,27.94815987336763
