genes,Synonym
BRWD3,"['FLJ38568', 'MRX93']"
ANKRD17,"['NY-BR-16', 'MASK2', 'FLJ22206', 'KIAA0697', 'GTAR']"
GLCE,"['KIAA0836', 'HSEPI']"
PCDHA3,['PCDH-ALPHA3']
MRPS5,"['MRP-S5', 'S5mt']"
MAD2L1,"['HSMAD2', 'MAD2']"
MNDA,['PYHIN3']
PEX11B,"['PEX11beta', 'PEX11ÃŽÂ²']"
SMCR8,"['DENND8A', 'FLJ34716']"
CPNE3,[nan]
LRP4,"['LRP-4', 'CLSS', 'SOST2', 'MEGF7']"
SUFU,"['SUFUH', 'PRO1280', 'SUFUXL']"
DPPA4,['FLJ10713']
ENO3,[nan]
MRPL24,['MRP-L18']
CNDP2,"['CN2', 'PEPA', 'HsT2298', 'FLJ10830', 'CPGL']"
PPARGC1A,"['PGC1', 'PGC1A', 'PPARGC1', 'PGC-1alpha']"
EGLN1,"['PHD2', 'HIFPH2', 'ZMYND6', 'C1orf12', 'SM-20']"
SNX7,[nan]
RER1,[nan]
SPECC1L,"['CYTSA', 'KIAA0376']"
PEX5,"['PTS1R', 'PXR1']"
PTK6,['BRK']
RAB3IL1,['GRAB']
KLF13,"['NSLP1', 'BTEB3', 'RFLAT-1', 'FKLF-2']"
KCTD12,"['PFET1', 'C13orf2', 'KIAA1778']"
MTMR3,"['FYVE-DSP1', 'KIAA0371', 'ZFYVE10']"
CEP63,['FLJ13386']
APOA1,[nan]
UIMC1,['RAP80']
ZMYM1,"['FLJ23151', 'MYM']"
LPAR6,"['P2RY5', 'P2Y5']"
LCP1,"['CP64', 'LC64P', 'PLS2', 'L-PLASTIN']"
ARHGAP27,"['FLJ43547', 'SH3P20', 'CAMGAP1', 'SH3D20']"
PDE7B,[nan]
LONP1,"['PRSS15', 'LonHS', 'PIM1', 'hLON']"
ELP3,"['FLJ10422', 'KAT9']"
SPRTN,"['Spartan', 'C1orf124', 'DKFZP547N043', 'DVC1']"
MED8,"['MGC17544', 'ARC32', 'MGC19641']"
MOB1B,"['MOBKL1A', 'MOB4A']"
TBCK,"['MGC16169', 'HSPC302']"
SKIL,"['SNO', 'SnoA', 'SnoN']"
STX8,['CARB']
MVB12A,"['FLJ32495', 'FAM125A']"
SUOX,[nan]
SWAP70,"['KIAA0640', 'SWAP-70']"
COL1A1,['OI4']
TMX3,"['TXNDC10', 'FLJ20793', 'KIAA1830', 'PDIA13']"
PSMD5,"['KIAA0072', 'S5B']"
SGSM3,"['DJ1042K10.2', 'RUTBC3', 'RABGAP5', 'RUSC3', 'RabGAP-5']"
NDUFB10,['PDSW']
ARHGAP29,['PARG1']
WDR41,['FLJ10904']
TIA1,['TIA-1']
ITGA5,"['CD49e', 'FNRA']"
PSRC1,['DDA3']
NIPSNAP1,[nan]
TRIM38,"['RNF15', 'RORET']"
GOSR1,"['GOS-28', 'GOS28', 'P28', 'GS28', 'GOLIM2']"
PKD1L1,['PRO19563']
HOOK1,['HK1']
COPZ1,"['CGI-120', 'COPZ']"
SCIN,['KIAA1905']
KIF26A,"['DKFZP434N178', 'KIAA1236']"
MFF,"['C2orf33', 'GL004']"
AIM2,['PYHIN4']
TSC22D3,"['DIP', 'GILZ', 'DSIPI', 'TSC-22R', 'hDIP']"
CERCAM,"['GLT25D3', 'CEECAM1']"
AMER2,"['FAM123A', 'FLJ25477']"
TRIM55,"['MURF-2', 'RNF29']"
EIF3K,"['HSPC029', 'PRO1474', 'PLAC-24', 'EIF3S12', 'M9', 'PTD001', 'ARG134']"
MOXD1,"['MOX', 'dJ248E1.1', 'DKFZP564G202']"
IRF7,[nan]
AIMP1,"['p43', 'SCYE1', 'EMAPII', 'EMAP-2']"
PGM3,"['AGM1', 'DKFZP434B187', 'PAGM']"
TIAL1,['TIAR']
ATAD3B,"['TOB3', 'KIAA1273']"
ZBTB38,"['PPP1R171', 'FLJ35036', 'CIBZ', 'ZNF921']"
BRD7,"['BP75', 'SMARCI1', 'CELTIX1']"
GEM,['KIR']
ZMPSTE24,"['PRO1', 'FACE-1', 'STE24', 'HGPS', 'Ste24p']"
PHF1,"['TDRD19C', 'MTF2L2', 'PCL1']"
MAGT1,"['IAP', 'SLC58A1', 'MRX95', 'OST3B', 'DKFZp564K142']"
LIG1,"['LIGI', 'hLig1']"
TAOK3,"['MAP3K18', 'JIK', 'DPK']"
SAPCD2,"['C9orf140', 'p42.3']"
MYOD1,"['PUM', 'bHLHc1', 'MYOD', 'MYF3']"
SH2B3,"['IDDM20', 'LNK']"
GPATCH11,"['FLJ38348', 'CENPY', 'CCDC75', 'CENP-Y']"
CEP57L1,"['C6orf182', 'bA487F23.2', 'MGC21731']"
SFSWAP,"['SWAP', 'SFRS8']"
PPM1E,"['CaMKP-N', 'POPX1', 'KIAA1072', 'PP2CH']"
LARP7,"['PIP7S', 'DKFZP564K112', 'HDCMA18P']"
FAM91A1,['FLJ23790']
PIM3,[nan]
FECH,[nan]
SPATS2L,"['SGNP', 'DNAPTP6']"
DSC3,"['DSC1', 'DSC2', 'DSC', 'DSC4', 'CDHF3']"
GSTO1,"['P28', 'GSTTLp28']"
ABCC1,"['MRP', 'MRP1', 'GS-X']"
KLF4,"['EZF', 'GKLF']"
USP47,[nan]
XPC,"['XPCC', 'RAD4']"
TM9SF4,"['KIAA0255', 'dJ836N17.2']"
LTN1,"['RNF160', 'C21orf98', 'KIAA0714', 'LISTERIN', 'ZNF294', 'C21orf10', 'FLJ11053']"
RTN4IP1,['NIMP']
MOCS2,"['MOCS2B', 'MOCS2A', 'MOCO1']"
RRAS2,['TC21']
GPR78,[nan]
MYD88,[nan]
GRAP2,"['Mona', 'GrbX', 'GADS', 'GRBLG', 'Grf40']"
PREX1,"['P-REX1', 'KIAA1415']"
TPD52L1,"['hD53', 'TPD53', 'D53']"
PPFIBP2,['Cclp1']
ZFYVE26,"['SPG15', 'KIAA0321']"
LRRC1,"['LANO', 'dJ523E19.1', 'FLJ11834', 'FLJ10775']"
BRMS1,['DKFZP564A063']
TRIM7,"['GNIP', 'RNF90']"
FANCC,"['FACC', 'FA3', 'FAC']"
RHOBTB3,['KIAA0878']
ARVCF,[nan]
TMEM237,"['JBTS14', 'ALS2CR4']"
CLASRP,"['CLASP', 'SWAP2', 'SFRS16']"
NETO2,"['FLJ10430', 'NEOT2']"
TDRD9,"['DKFZp434N0820', 'FLJ36164', 'C14orf75', 'NET54']"
UBE2S,['E2-EPF']
CD3EAP,[]
ZFYVE27,"['FLJ32919', 'SPG33']"
ATAD2B,['KIAA1240']
CTSZ,['CTSX']
USP3,[nan]
ATAD3A,['FLJ10709']
ANKRD27,"['FLJ00040', 'VARP', 'DKFZp434L0718']"
KRT9,"['EPPK', 'CK-9', 'K9']"
EVI5L,[nan]
UQCRFS1,"['UQCR5', 'RISP', 'RIP1', 'RIS1']"
FOXL2,"['BPES', 'BPES1']"
PTCD3,"['FLJ20758', 'DKFZp666K071']"
AXIN2,"['DKFZp781B0869', 'MGC126582']"
PHKG2,[nan]
MAK16,"['RBM13', 'MAK16L']"
ARID5A,"['MRF-1', 'RP11-363D14']"
ANKRD13D,[nan]
MEPE,[nan]
CCNJL,['FLJ14166']
DMXL1,[nan]
NDC1,"['TMEM48', 'NET3', 'FLJ10407']"
SPDEF,"['PDEF', 'bA375E1.3']"
TIMMDC1,"['C3orf1', 'FLJ22597']"
ISYNA1,"['INOS', 'IPS', 'Ino1']"
NT5C1A,"['MGC119199', 'CN1A', 'MGC119201', 'CN1', 'CN-I', 'CN-IA']"
ID1,"['dJ857M17.1.2', 'bHLHb24']"
ATE1,[nan]
LAMTOR1,"['p27RF-Rho', 'p18', 'Pdro', 'C11orf59', 'FLJ20625', 'Ragulator1']"
SHISA6,['FLJ45455']
CNST,"['C1orf71', 'FLJ32001', 'PPP1R64']"
CERS2,"['FLJ10243', 'SP260', 'LASS2']"
PRMT6,"['FLJ10559', 'HRMT1L6']"
HTR1B,"['5-HT1B', 'S12', '5-HT1DB', 'HTR1D2']"
PDZK1,"['PDZD1', 'NHERF3']"
PDZD8,"['PDZK8', 'FLJ34427', 'bA129M16.2']"
UHRF1BP1L,['KIAA0701']
MUTYH,['MYH']
PRDM2,"['RIZ2', 'KMT8', 'RIZ1', 'HUMHOXY1', 'MTB-ZF', 'RIZ', 'KMT8A']"
PYCR1,['P5C']
ALDH1A2,['RALDH2']
WIPF2,"['WIRE', 'WICH']"
LPCAT2,"['LysoPAFAT', 'FLJ20481', 'AYTL1', 'AGPAT11']"
ASAP3,"['DDEFL1', 'FLJ20199', 'CENTB6', 'UPLC1']"
PHF20,"['dJ1121G12.1', 'TDRD20A', 'C20orf104']"
PDCD11,"['NFBP', 'ALG-4', 'RRP5', 'KIAA0185']"
CACNG7,[nan]
SCARA5,"['MGC45780', 'FLJ23907', 'NET33']"
OLIG2,"['RACK17', 'bHLHe19', 'PRKCBP2', 'BHLHB1', 'OLIGO2']"
TIMM44,['TIM44']
MIF,"['GIF', 'GLIF']"
MAP4K1,['HPK1']
ERLIN1,"['SPFH1', 'KE04', 'SPG62', 'Erlin-1', 'C10orf69']"
ABHD5,"['CGI-58', 'NCIE2']"
TJP3,['ZO-3']
MRPS28,"['MRP-S28', 'MRPS35', 'HSPC007']"
XYLT2,"['XT-II', 'PXYLT2']"
NRG2,"['NTAK', 'HRG2', 'Don-1']"
MIA3,"['TANGO1', 'TANGO', 'KIAA0268', 'UNQ6077', 'FLJ39207']"
MTMR6,[nan]
SLC9A5,['NHE5']
LRMP,[]
RITA1,"['C12orf52', 'RITA', 'FLJ14827']"
PCDHA7,"['CNRS4', 'CRNR4', 'CNR4']"
FBXO7,"['PARK15', 'FBX7', 'Fbx']"
TPTE2,['TPIP']
DNAJB12,"['FLJ20027', 'DJ10']"
GSR,[nan]
BIRC3,"['cIAP2', 'API2', 'RNF49', 'MALT2', 'MIHC', 'hiap-1', 'c-IAP2']"
CASQ2,['PDIB2']
UST,['2OST']
TH,['DYT5b']
ETNPPL,['AGXT2L1']
CASP7,"['ICE-LAP3', 'MCH3', 'CMH-1']"
RBM26,"['PRO1777', 'ARRS2', 'PPP1R132', 'FLJ20957', 'ZC3H17', 'C13orf10', 'SE70-2']"
TRUB1,['PUS4']
HSPB6,"['PPP1R91', 'Hsp20', 'FLJ32389']"
TSNARE1,['FLJ31164']
ERCC6,"['CKN2', 'ARMD5', 'RAD26', 'CSB']"
ANTXR2,"['CMG-2', 'FLJ31074', 'CMG2']"
TRIM62,"['FLJ10759', 'DEAR1']"
ADAM17,"['CD156B', 'TACE', 'cSVP']"
DNAJC8,['SPF31']
SOX1,[nan]
WDR81,"['CAMRQ2', 'SORF-2', 'FLJ33817', 'PPP1R166']"
DOCK8,"['FLJ00026', 'FLJ00152', 'ZIR8', 'FLJ00346']"
ROM1,"['ROM', 'TSPAN23']"
TCERG1,"['TAF2S', 'Urn1', 'CA150']"
COX10,[nan]
HSPB7,['cvHSP']
ZNF524,['MGC23143']
UTP14A,"['NY-CO-16', 'Utp14', 'SDCCAG16']"
UNC93B1,['UNC93']
BCKDK,[nan]
VENTX,"['VENTX2', 'HPX42B']"
COIL,"['p80-coilin', 'CLN80']"
ARNT,"['HIF-1beta', 'bHLHe2']"
MAD2L2,"['POLZ2', 'MAD2B', 'REV7', 'FANCV']"
NAB2,['MADER']
TMEM87A,['DKFZP564G2022']
DSN1,"['C20orf172', 'KNL3', 'dJ469A13.2', 'hKNL-3', 'MIS13']"
PTCD2,['FLJ12598']
WDR70,['FLJ10233']
DRD1,[nan]
PPIP5K2,"['KIAA0433', 'CFAP160', 'HISPPD1', 'VIP2', 'DFNB100']"
KIAA1549,[nan]
QSOX2,"['SOXN', 'QSCN6L1', 'DKFZp762A2013']"
CD79B,"['IGB', 'B29']"
PEPD,[nan]
CIPC,['KIAA1737']
ACOT13,"['HT012', 'THEM2']"
TUBGCP6,"['GCP6', 'DJ402G11.6', 'KIAA1669']"
STYX,[nan]
SMTNL2,['FLJ42461']
DPP9,[nan]
FASLG,"['APT1LG1', 'TNFSF6', 'CD178', 'FasL']"
HERC4,"['DKFZP564G092', 'KIAA1593']"
ADCY3,['AC3']
ALG13,"['TDRD13', 'MDS031', 'FLJ23018', 'GLT28D1', 'YGL047W', 'CDG1S', 'CXorf45']"
TLX3,"['HOX11L2', 'RNX']"
FAM126A,"['HYCC1', 'hyccin', 'DRCTNNB1A', 'HCC']"
SPAG1,"['HSD-3.8', 'DNAAF13', 'TPIS', 'SP75', 'CILD28', 'FLJ32920', 'CT140']"
NOMO2,"['PM5', 'NOMO']"
VPS4A,"['SKD1A', 'FLJ22197', 'VPS4-1', 'VPS4', 'SKD1', 'SKD2']"
CNTN2,"['AXT', 'TAG-1', 'TAX1', 'TAX']"
ST8SIA4,"['PST1', 'SIAT8D', 'PST']"
SHPRH,"['bA545I5.2', 'FLJ90837', 'KIAA2023']"
HLCS,['HCS']
DYNC1LI2,['DNCLI2']
SVEP1,"['bA427L11.3', 'C9orf13', 'FLJ13529', 'POLYDOM']"
PLK2,['SNK']
TBCA,[nan]
TSEN34,"['LENG5', 'SEN34', 'SEN34L']"
STK38L,"['KIAA0965', 'NDR2']"
PAX5,['BSAP']
MRPL37,"['MRP-L2', 'RPML2']"
SRP68,[nan]
MRPL1,['BM022']
RAPGEF3,"['cAMP-GEFI', 'bcm910', 'EPAC']"
GPSM1,"['AGS3', 'DKFZP727I051']"
ECE1,['ECE']
EXOC3,"['Sec6p', 'SEC6L1']"
ACVR1,"['ALK2', 'ACVRLK2', 'SKR1', 'ACVR1A']"
THBS4,[nan]
MFAP3,[nan]
SNX33,"['MGC32065', 'SNX30', 'SH3PXD3C', 'SH3PX3']"
CEP72,"['KIAA1519', 'FLJ10565']"
ZBTB7B,"['hcKrox', 'ZFP67', 'c-Krox', 'ZNF857B', 'ZBTB15']"
TEAD4,"['TCF13L1', 'RTEF-1', 'TEFR-1', 'EFTR-2', 'TEF-3']"
DPH1,"['DPH2L', 'DPH2L1', 'OVCA1']"
NEU4,[nan]
THSD7B,['KIAA1679']
TSPAN14,"['DC-TM4F2', 'MGC11352', 'TM4SF14']"
KLF5,"['IKLF', 'BTEB2', 'CKLF']"
FZD3,[nan]
ACAN,"['MSK16', 'CSPG1', 'AGC1', 'CSPGCP']"
TBC1D22A,['C22orf4']
SSR3,['TRAPG']
BLVRA,['BLVR']
QPRT,['QPRTase']
UBE2Z,"['FLJ13855', 'USE1']"
MBD2,[nan]
VASH1,['KIAA1036']
P4HA3,['C-P4Halpha(III)']
CNDP1,"['HsT2308', 'CN1', 'CPGL2', 'MGC10825']"
CUEDC2,"['MGC2491', 'C10orf66']"
SLC27A2,"['FACVL1', 'FATP2', 'ACSVL1', 'HsT17226', 'VLACS', 'VLCS', 'hFACVL1']"
SLC38A2,"['KIAA1382', 'ATA2', 'SAT2', 'SNAT2']"
AP3M1,[nan]
TMUB1,"['SB144', 'HOPS', 'C7orf21']"
IGFN1,"['EEF1A2BP1', 'DKFZp434B1231']"
TTF2,"['HuF2', 'ZGRF6']"
UTP20,"['DRIM', '1A6/DRIM']"
SBK1,['Sbk']
OTOG,"['mlemp', 'OTGN', 'FLJ46346']"
SLC35C2,"['CGI-15', 'bA394O2.1', 'OVCOV1', 'C20orf5']"
SGK3,"['SGKL', 'SGK2']"
CDT1,"['RIS2', 'DUP']"
IL16,"['HsT19289', 'FLJ42735', 'FLJ16806', 'prIL-16', 'IL-16', 'LCF']"
CSNK1G1,['CK1gamma1']
USP39,"['CGI-21', 'SAD1', 'SNRNP65']"
RNMT,['RG7MT1']
DTX3,"['FLJ34766', 'RNF154']"
SLC4A1AP,"['kanadaptin', 'HLC3']"
VPS13D,"['KIAA0453', 'FLJ10619']"
GATAD2A,['p66alpha']
PIK3R4,"['VPS15', 'p150']"
GHDC,['LGP1']
TC2N,"['C2CD1', 'C14orf47', 'Tac2-N', 'FLJ36557', 'MTAC2D1']"
PLG,[nan]
ZBTB42,['ZNF925']
MORC4,"['ZCW4', 'ZCWCC2', 'FLJ11565']"
PCCB,[nan]
SRSF12,"['SFRS13B', 'SRrp35', 'SFRS19']"
MT2A,['MT2']
U2AF1L4,"['U2AF1L3', 'MGC33901', 'U2af26']"
TXNDC5,"['EndoPDI', 'FLJ90810', 'Hcc-2', 'FLJ21353', 'ERp46', 'MGC3178', 'PDIA15']"
ASGR2,['CLEC4H2']
BRD9,"['FLJ13441', 'SMARCI2']"
BACH1,"['BTBD24', 'BACH-1']"
SEC11C,"['SPC21', 'SEC11L3', 'SPCS4C']"
SHC4,"['SHCD', 'RaLP']"
WDR82,"['TMEM113', 'SWD2', 'MST107', 'PRO2730', 'MSTP107', 'PRO34047', 'WDR82A']"
ITGA1,"['CD49a', 'VLA1']"
SLC25A10,['DIC']
GNL3L,"['FLJ10613', 'GNL3B']"
BCS1L,"['Hs.6719', 'BCS', 'h-BCS', 'BJS']"
HMGCR,[nan]
HCRTR1,"['OX1R', 'OXR1', 'ORXR1']"
UVRAG,['VPS38']
UBASH3A,"['CLIP4', 'TULA', 'STS-2']"
CHMP2B,"['CHMP2.5', 'DKFZP564O123', 'VPS2B']"
WDR36,"['GLC1G', 'UTP21', 'TA-WDRP']"
MBD1,"['CXXC3', 'PCM1']"
ZNF195,[nan]
PCDHA13,"['CNRS5', 'PCDH-ALPHA13', 'CNRN5', 'CRNR5', 'CNR5']"
ANKRD13A,"['ANKRD13', 'NY-REN-25']"
TMEM214,['FLJ20254']
SCARB1,"['SR-BI', 'CLA-1', 'CLA1', 'CD36L1', 'SRB1']"
GATAD2B,['P66beta']
SYNGAP1,"['KIAA1938', 'RASA5', 'SYNGAP']"
SYTL5,[nan]
TAF6,"['TAFII70', 'TAFII85', 'MGC:8964', 'TAF2E', 'TAFII80']"
RNF111,"['DKFZP761D081', 'ARK', 'Arkadia', 'FLJ38008']"
ZHX3,"['TIX1', 'KIAA0395']"
SLC39A14,"['ZIP14', 'KIAA0062', 'NET34']"
BRD3,"['ORFX', 'KIAA0043', 'RING3L']"
RHO,"['CSNBAD1', 'RP4', 'OPN2']"
MOB1A,"['MOBK1B', 'Mob4B', 'FLJ11595', 'C2orf6', 'FLJ10788', 'Mats1', 'MOBKL1B', 'MOB1']"
POM121,"['DKFZP586G1822', 'POM121A', 'DKFZP586P2220', 'KIAA0618']"
KCNN3,"['KCa2.3', 'SKCA3', 'hSK3']"
PAX2,[nan]
DNMT3A,[nan]
ASF1A,"['DKFZP547E2110', 'CIA']"
PEAK1,"['sgk269', 'KIAA2002']"
GMPR2,[nan]
ABCA13,"['FLJ33876', 'FLJ33951']"
STRN3,"['PPP2R6B', 'SG2NA', 'S/G2NA']"
CCNO,"['CCNU', 'UDG2', 'UNG2', 'FLJ22422']"
SHROOM3,"['APXL3', 'SHRM', 'KIAA1481', 'ShrmL']"
AIFM3,"['AIFL', 'FLJ30473']"
APPL2,"['DIP13B', 'FLJ10659']"
SH3BGRL2,[nan]
SIK3,"['KIAA0999', 'FLJ12240', 'QSK', 'L19']"
MED13,"['KIAA0593', 'TRAP240', 'THRAP1']"
DCP2,['NUDT20']
NEU1,['NEU']
CDV3,['H41']
LGALS9,['LGALS9A']
MRPS2,['CGI-91']
RHEBL1,"['FLJ25797', 'RHEB2', 'MGC34869']"
CDC6,['CDC18L']
MFN2,"['CMT2A2', 'CPRP1', 'MARF', 'KIAA0214']"
ZIC2,['HPE5']
KCTD1,['C18orf5']
ARRDC3,"['TLIMP', 'KIAA1376']"
EGFL7,['ZNEU1']
NACAD,['KIAA0363']
LPXN,['LDPL']
ZCCHC12,"['PNMA7A', 'FLJ16123', 'SIZN', 'SIZN1']"
ARHGAP9,"['10C', 'MGC1295']"
ENPP6,['MGC33971']
ARPC1A,"['Arc40', 'SOP2Hs', 'SOP2L']"
CTDSP2,"['PSR2', 'OS4', 'SCP2']"
STT3B,"['FLJ90106', 'STT3-B', 'SIMP']"
VARS2,"['G7a', 'DKFZP434L1435', 'VARS2L', 'KIAA1885', 'VARSL']"
NEK1,"['NY-REN-55', 'KIAA1901']"
IL17RC,['IL17-RL']
FZD10,['CD350']
HK2,[nan]
PCIF1,"['C20orf67', 'CAPAM', 'PPP1R121', 'bA465L10.1']"
SLAIN1,"['FLJ30046', 'C13orf32']"
LHX2,"['hLhx2', 'LH-2']"
CC2D1A,"['TAPE', 'Freud-1', 'Lgd2', 'MRT3', 'FLJ20241', 'Aki-1']"
FBXO3,"['FBX3', 'FBA']"
SLC27A4,"['ACSVL4', 'FATP4']"
CDCA5,[nan]
KCNG3,['Kv6.3']
SMPD1,['ASM']
S100A11,['S100C']
TFDP1,"['Dp-1', 'DRTF1', 'DP1', 'DILC']"
ANAPC2,"['KIAA1406', 'APC2']"
IRF2BP1,"['DKFZP434M154', 'IRF-2BP1']"
ZFX,['ZNF926']
BCCIP,"['BCCIPalpha', 'TOK-1']"
EML6,['FLJ42562']
OSBPL2,"['ORP-2', 'DFNA67', 'KIAA0772']"
ECHDC1,['dJ351K20.2']
CDCA7L,"['JPO2', 'R1', 'RAM2']"
PRMT2,"['MGC111373', 'HRMT1L1']"
OR14I1,"['OR5BU1', 'OR5BU1P']"
PITPNB,['VIB1B']
IRF2,[nan]
IL1RAP,"['IL-1RAcP', 'IL1R3', 'C3orf13']"
NAMPT,"['PBEF1', 'PBEF']"
TASP1,"['C20orf13', 'FLJ20212', 'dJ585I14.2']"
SIRT5,[nan]
EXOSC1,"['Ski4p', 'p13', 'CSL4', 'Csl4p', 'SKI4', 'hCsl4p', 'CGI-108']"
ADARB2,"['hRED2', 'ADAR3', 'RED2']"
WNK4,['PRKWNK4']
DPY30,"['Cps25', 'HDPY-30', 'Saf19']"
MRPS14,['HSMRPS14']
NRAP,[nan]
CTSL,"['CTSL1', 'FLJ31037']"
RAB3GAP2,"['RAB3-GAP150', 'KIAA0839', 'SPG69', 'DKFZP434D245']"
ACP2,['LAP']
CYGB,"['HGB', 'STAP']"
PHACTR2,"['C6orf56', 'KIAA0680']"
ABCB9,['EST122234']
CLIP2,"['KIAA0291', 'CYLN2', 'WSCR4', 'WSCR3', 'CLIP', 'WBSCR4', 'CLIP-115', 'WBSCR3']"
AMER1,"['WTX', 'FAM123B', 'RP11-403E24.2', 'FLJ39827']"
EYA2,['EAB1']
PSMB2,['HC7-I']
ATXN7,"['SCA7', 'SGF73', 'ADCAII', 'OPCA3']"
HMGN2,['HMG17']
MYH3,"['MYHSE1', 'HEMHC', 'MYHC-EMB', 'SMHCE']"
DSC1,['CDHF1']
GNL3,"['C77032', 'NS', 'MGC800', 'E2IG3']"
KATNA1,[nan]
ENDOD1,['KIAA0830']
DDX49,"['FLJ10432', 'Dbp8']"
C7,[nan]
ZNF148,"['pHZ-52', 'BFCOL1', 'BERF-1', 'ZFP148', 'HT-BETA', 'ZBP-89']"
USP48,"['FLJ23277', 'FLJ11328', 'FLJ23054', 'MGC14879', 'FLJ20103', 'USP31']"
SCAMP2,[nan]
MAPK12,"['p38gamma', 'PRKM12', 'SAPK3', 'ERK6', 'SAPK-3']"
WDR3,"['DIP2', 'UTP12', 'FLJ12796']"
XPO5,['KIAA1291']
GMPS,['GATD7']
ARHGEF16,"['GEF16', 'NBR']"
RABGGTB,[nan]
DDX51,[nan]
COPS3,"['SGN3', 'CSN3']"
ANXA4,['ANX4']
GATA2,['NFE1B']
BRCC3,"['BRCC36', 'C6.1A', 'CXorf53']"
ANP32E,"['LANPL', 'LANP-L', 'MGC5350']"
POLD2,[nan]
RDH13,['SDR7C3']
ARIH2,['TRIAD1']
PRR5,"['Protor-1', 'FLJ20185k', 'PP610']"
RASGEF1B,"['GPIG4', 'FLJ31695']"
PTP4A1,"['PTPCAAX1', 'PRL1', 'PRL-1']"
COTL1,['CLP']
TRMT1L,['C1orf25']
KLHL4,"['KHL4', 'KIAA1687', 'DKELCHL']"
SPHKAP,['SKIP']
ALDH3B1,['ALDH7']
SNX4,['ATG24B']
IFIT3,"['CIG-49', 'IRG2', 'IFI60', 'GARG-49', 'IFIT4', 'ISG60', 'RIG-G']"
SYNJ2BP,['Arip2']
NOVA2,"['NOVA3', 'ANOVA', 'NOVA-2']"
DNAJB14,['FLJ14281']
HMMR,"['RHAMM', 'CD168']"
ARPC5,"['p16-Arc', 'dJ127C7.3', 'ARC16']"
SVIP,['DKFZp313A2432']
DHCR24,"['DCE', 'seladin-1', 'KIAA0018']"
S100A9,"['MRP14', 'MRP-14', '60B8AG', 'CGLB', 'CFAG', 'MAC387', 'LIAG', 'CAGB', 'MIF', 'NIF', 'S100-A9', 'P14']"
IFIT1,"['IFI56', 'IFNAI1', 'G10P1', 'GARG-16']"
SLAMF1,"['CD150', 'SLAM']"
PRDM1,"['BLIMP1', 'PRDI-BF1']"
GAR1,['NOLA1']
PPP2R3A,"['PPP2R3', 'PR130', 'PR72']"
ERCC2,"['XPD', 'MGC126219', 'MAG', 'MGC126218', 'EM9', 'MGC102762']"
LMBRD1,"['cblF', 'FLJ11240', 'C6orf209', 'bA810I22.1']"
UBXN4,"['KIAA0242', 'UBXD2', 'UBXDC1']"
CSNK1G2,['CK1g2']
STARD3NL,"['MGC3251', 'MENTHO']"
OPN4,"['melanopsin', 'MOP']"
TRMT61B,['FLJ20628']
KANSL1,"['KIAA1267', 'CENP-36', 'MSL1v1', 'NSL1', 'DKFZP727C091']"
TOPBP1,"['KIAA0259', 'Dpb11', 'TOP2BP1']"
ENPP1,"['PCA1', 'PDNP1', 'PC-1', 'M6S1', 'NPPS']"
DUSP7,"['MKP-X', 'PYST2']"
MIER1,"['KIAA1610', 'MI-ER1', 'hMI-ER1']"
PSMB8,"['LMP7', 'PSMB5i', 'D6S216E', 'RING10', 'beta5i']"
CDYL,"['CDYL1', 'DKFZP586C1622']"
TM9SF2,['P76']
TRPC6,"['FSGS2', 'TRP6']"
PKIB,['PRKACN2']
USP6NL,"['RNTRE', 'TRE2NL', 'KIAA0019', 'USP6NL-IT1', 'RN-tre']"
RNF169,['KIAA1991']
ELF2,"['NERF-2', 'EU32', 'NERF-1A', 'NERF', 'NERF-1B']"
MTHFD2,[nan]
SEC62,"['Dtrp1', 'TLOC1', 'HTP1']"
PLP2,"['A4', 'A4-LSB', 'MGC126187']"
MRGBP,"['MRG15BP', 'Eaf7', 'C20orf20', 'FLJ10914']"
AK2,[nan]
COPS8,"['MGC1297', 'SGN8', 'COP9', 'CSN8']"
APEH,"['D3S48E', 'D3F15S2', 'DNF15S2']"
SS18L2,['KIAA-iso']
TPRN,"['FLJ90254', 'C9orf75', 'DFNB79']"
KLC4,"['KNSL8', 'bA387M24.3']"
DNAH2,"['FLJ46675', 'KIAA1503', 'DNHD3']"
CENPQ,"['C6orf139', 'FLJ10545', 'CENP-Q']"
DCUN1D4,['KIAA0276']
SETD1A,"['SET1A', 'Set1', 'KIAA0339', 'KMT2F']"
N4BP3,['LZTS4']
GPRASP1,"['GASP1', 'GASP']"
POLE,['POLE1']
MGAT5B,"['GnT-VB', 'GnT-IX', 'FLJ25132']"
CBS,['HIP4']
RBBP5,"['SWD1', 'RBQ3']"
SLU7,['9G8']
CCDC88B,"['CCDC88', 'FLJ00354', 'HkRP3', 'GIPIE', 'FLJ37970', 'BRLZ']"
ZNF512,['KIAA1805']
TCEANC,['MGC17403']
FOXJ2,['FHX']
TBC1D30,['KIAA0984']
ARGLU1,['FLJ10154']
GSPT2,"['eRF3b', 'FLJ10441']"
EFHC1,"['POC9', 'EJM1', 'FLJ10466', 'RIB72', 'EJM']"
TRRAP,"['PAF400', 'Tra1', 'TR-AP']"
PSMD13,"['p40.5', 'Rpn9']"
NDUFAF1,"['CGI-65', 'CIA30']"
HRH1,[nan]
PCK1,['PEPCK-C']
COL16A1,[nan]
DEF6,"['IBP', 'SWAP70L', 'SLAT']"
ACAT2,[nan]
