genes,Synonym
TGOLN2,"['TGN51', 'TGN38', 'TGN46', 'TGN48', 'TTGN2']"
ERBB2,"['NEU', 'HER2', 'CD340', 'NGL', 'HER-2']"
PIK3R1,"['GRB1', 'p85', 'p85-ALPHA']"
RPS3,"['FLJ27450', 'MGC87870', 'FLJ26283', 'S3']"
LRP1,"['CD91', 'IGFBP3R1', 'APR', 'LRP', 'A2MR', 'LRP1A', 'APOER', 'IGFBP-3R']"
CTNNA1,['CAP102']
YBX1,"['BP-8', 'CSDB', 'CSDA2', 'NSEP1', 'YB-1', 'YB1', 'DBPB', 'NSEP-1', 'MDR-NF1']"
GPM6B,"['MGC17150', 'MGC54284', 'M6B']"
COPS5,"['CSN5', 'MOV-34', 'SGN5', 'JAB1']"
FMR1,"['FMRP', 'FRAXA', 'MGC87458', 'POF', 'POF1']"
FASN,"['SDR27X1', 'FAS']"
PRKCZ,['PKC2']
NOTCH2,[nan]
SQSTM1,"['FTDALS3', 'p62', 'p60', 'A170', 'PDB3', 'p62B', 'ZIP3', 'OSIL', 'DMRV', 'NADGP']"
RPL11,"['uL5', 'L11']"
TRAF6,['RNF85']
FBL,"['FIB', 'FLRN', 'RNU3IP1', 'Nop1']"
CRK,[nan]
RB1,"['OSRC', 'PPP1R130', 'RB']"
DNAJC7,"['TPR2', 'TTC2']"
TRIM28,"['PPP1R157', 'TF1B', 'TIF1B', 'RNF96', 'KAP1']"
STX1B,"['STX1B1', 'STX1B2']"
MAPRE3,"['RP3', 'EB3']"
KDM1A,"['BHC110', 'LSD1', 'KIAA0601', 'KDM1', 'AOF2']"
AGO2,"['hAGO2', 'CASC7', 'LINC00980', 'EIF2C2', 'Q10']"
HUWE1,"['KIAA0312', 'Ib772', 'UREB1']"
MAPT,"['PPP1R103', 'MTBT1', 'tau', 'FLJ31424', 'MTBT2', 'MSTD', 'MAPTL', 'PPND', 'FTDP-17', 'MGC138549', 'tau-40', 'DDPAC']"
LSAMP,"['LAMP', 'IGLON3']"
EPB41L1,"['KIAA0338', '4.1N']"
DOCK9,"['ZIZ1', 'KIAA1058']"
SPTBN1,[nan]
SYNCRIP,"['hnRNP-Q', 'HNRPQ1', 'GRY-RBP', 'dJ3J17.2', 'NSAP1', 'HNRNPQ']"
TUBB3,"['CFEOM3A', 'FEOM3', 'beta-4', 'CFEOM3']"
NCL,"['C23', 'Nsr1']"
TARDBP,"['TDP-43', 'ALS10']"
CNOT1,"['CDC39', 'NOT1H', 'NOT1', 'KIAA1007', 'AD-005']"
SNW1,"['FUN20', 'Prp45', 'Bx42', 'SKIP1', 'SKIIP', 'NCoA-62', 'PRPF45', 'SKIP']"
TLN2,"['KIAA0320', 'ILWEQ']"
SYT7,"['PCANAP7', 'SYT-VII', 'MGC150517', 'IPCA-7']"
CADM2,"['Necl-3', 'IGSF4D', 'SynCAM2', 'NECL3']"
RPL19,"['L19', 'FLJ27452', 'MGC71997', 'DKFZp779D216']"
NEDD4,"['RPF1', 'MGC176705', 'NEDD4-1', 'KIAA0093']"
SMAD2,"['JV18-1', 'MADR2', 'MADH2']"
PTBP3,"['DKFZp781I1117', 'ROD1']"
ATP2B4,"['MXRA1', 'ATP2B2', 'PMCA4']"
UBE3A,"['ANCR', 'HPVE6A', 'E6-AP', 'FLJ26981', 'AS', 'EPVE6AP']"
HNRNPK,"['HNRPK', 'CSBP', 'TUNP']"
MAPK3,"['p44erk1', 'ERK1', 'p44mapk', 'PRKM3']"
HECW1,"['NEDL1', 'KIAA0322']"
LRBA,"['CDC4L', 'LBA', 'LAB300', 'BGL']"
RPS16,['S16']
CHD3,"['Mi-2a', 'ZFH', 'Mi2-ALPHA']"
XRCC6,"['D22S671', 'D22S731', 'ML8', 'KU70', 'G22P1']"
EFTUD2,"['Snu114', 'U5-116KD', 'Snrp116', 'SNRNP116']"
MAP2K4,"['JNKK1', 'MKK4', 'PRKMK4', 'SERK1', 'MEK4']"
SNRPN,"['SNURF-SNRPN', 'PWCR', 'RT-LI', 'SNRNP-N', 'HCERN3', 'SMN', 'SM-D']"
MYT1L,"['ZC2HC4B', 'ZC2H2C2', 'NZF1', 'KIAA1106']"
RPL8,['L8']
SBF2,"['MTMR13', 'CMT4B2', 'KIAA1766', 'DENND7B']"
ATM,"['ATC', 'ATA', 'ATDC', 'ATD', 'TELO1', 'TEL1']"
LMNA,"['PRO1', 'CMD1A', 'LMNL1', 'MADA', 'LGMD1B', 'LMN1', 'HGPS']"
DYNLL1,"['PIN', 'LC8', 'DNCL1', 'hdlc1', 'DLC1', 'DLC8']"
ACTN4,['FSGS1']
RPL12,['L12']
PRKCB,"['PKCÃŽÂ²', 'PRKCB2', 'PKCB', 'PRKCB1']"
DNM2,"['DYN2', 'CMTDIB', 'CMTDI1', 'DI-CMTB', 'CMT2M', 'DYNII']"
CNKSR2,"['KSR2', 'KIAA0902', 'CNK2']"
BCLAF1,"['KIAA0164', 'BTF']"
KHDRBS1,"['p62', 'Sam68', 'FLJ34027']"
PDE4DIP,"['KIAA0477', 'MMGL', 'CMYA2', 'KIAA0454']"
CACNA1C,"['CACH2', 'CACNL1A1', 'CACN2', 'TS', 'LQT8', 'CCHL1A1', 'Cav1.2']"
SOD1,"['ALS1', 'IPOA', 'ALS']"
TNK2,"['p21cdc42Hs', 'ACK', 'ACK1']"
PTBP1,"['PTB2', 'pPTB', 'PTB4', 'PTB3', 'PTB-1', 'HNRPI', 'HNRNP-I', 'PTB']"
MAPK10,"['PRKM10', 'p54bSAPK', 'JNK3', 'p493F12']"
ASAP1,"['PAP', 'KIAA1249', 'DDEF1', 'CENTB4', 'ZG14P']"
HNRNPD,"['HNRPD', 'AUF1']"
CAND1,"['TIP120A', 'DKFZp434M1414', 'TIP120', 'KIAA0829']"
STAT1,"['ISGF-3', 'STAT91']"
LDHB,[nan]
PPP2R1A,"['PP2AA', 'PP2A-Aalpha', 'PR65A']"
PRKCE,[nan]
ITCH,['AIP4']
KSR1,"['KSR', 'RSU2']"
IKBKB,"['NFKBIKB', 'IKK2', 'IKK-beta', 'IKKB']"
RPL5,"['L5', 'PPP1R135', 'uL18']"
UBL4A,"['MDY2', 'TMA24', 'UBL4', 'GDX', 'DXS254E', 'GET5']"
TCF4,"['E2-2', 'ITF2', 'SEF2-1B', 'bHLHb19']"
PPP1R12A,"['MBS', 'M130', 'MYPT1']"
TJP1,"['MGC133289', 'ZO-1', 'DKFZp686M05161']"
LAMP1,['CD107a']
UBE2I,['UBC9']
SHANK2,"['CORTBP1', 'SPANK-3', 'ProSAP1', 'CTTNBP1', 'SHANK']"
LIMA1,['EPLIN']
ROBO2,['KIAA1568']
MSH2,"['COCA1', 'HNPCC', 'HNPCC1']"
NBEAL2,['KIAA0540']
SORL1,"['C11orf32', 'SorLA-1', 'gp250', 'SorLA', 'LR11', 'LRP9']"
DOCK11,"['ZIZ2', 'FLJ32122', 'FLJ43653', 'ACG']"
NR3C1,"['GRL', 'GR']"
